ec2_count,ec2_total_memory,ec2_total_vcpu,rds_count,rds_total_memory,rds_multi_az,ebs_volume_count,ebs_total_gb,s3_bucket_count,s3_total_gb,has_nat_gateway,has_load_balancer,total_resources,monthly_cost
7,116.0,34,1,2.0,0,15,8298,3,15321,0,0,26,2808.88
1,16.0,8,2,96.0,1,18,11002,8,18464,1,1,31,4519.6
10,333.0,78,4,104.0,1,19,9344,3,9572,1,0,37,7224.9
3,64.5,18,0,0.0,1,0,0,8,37995,1,0,12,1528.53
9,149.0,28,5,124.0,0,1,368,2,15073,0,1,18,2726.1
6,170.5,34,4,28.0,0,20,10468,9,47698,0,1,40,5456.84
7,124.5,38,1,8.0,0,0,0,8,38853,1,0,17,2290.76
9,177.0,44,4,80.0,1,15,8090,6,27127,1,0,35,5736.24
5,168.0,24,5,105.0,1,17,5765,9,49582,0,1,37,6252.2
10,195.5,50,5,104.0,0,17,7638,6,35281,1,1,40,5576.53
9,140.5,44,3,48.0,0,20,9198,1,275,1,0,34,4163.93
1,16.0,2,3,96.0,1,13,5473,9,38427,0,0,26,3782.0
5,164.5,32,2,10.0,0,19,10528,7,34197,0,0,33,3878.95
0,0.0,0,2,64.0,1,0,0,2,9144,0,1,5,1652.16
7,134.0,36,5,107.0,0,3,1527,6,34397,1,1,23,3081.09
5,160.0,32,5,116.0,0,5,2367,5,27547,1,0,21,3782.95
0,0.0,0,1,8.0,1,2,1410,4,18067,1,1,9,737.84
8,200.5,52,3,16.0,0,17,9290,0,0,1,1,30,4491.85
1,0.5,2,2,33.0,0,17,6423,0,0,1,1,22,1693.51
7,138.5,32,2,9.0,0,20,13268,0,0,1,1,31,2982.26
4,85.0,24,5,116.0,1,13,4412,0,0,0,0,22,3966.07
5,120.0,26,5,113.0,1,5,2353,6,32212,1,1,23,4563.46
6,80.5,24,0,0.0,1,12,6124,7,40420,0,1,26,2451.6
8,155.0,38,0,0.0,1,15,9587,1,9843,1,1,26,3114.55
7,111.0,40,4,104.0,0,15,5706,2,4847,1,1,30,3827.14
10,137.5,38,4,76.0,1,0,0,0,0,0,1,15,2887.42
6,120.0,24,1,64.0,0,14,7206,10,63813,1,1,33,4500.87
1,0.5,2,1,8.0,1,8,4776,10,41793,1,1,22,1991.5
10,300.5,68,0,0.0,1,15,8797,5,24861,1,0,31,4045.29
2,40.0,6,2,18.0,0,9,5304,3,24152,0,1,17,1634.17
5,60.0,16,4,70.0,1,4,2543,5,18078,0,1,19,3114.79
9,97.0,34,0,0.0,1,11,6041,1,6255,1,0,22,1972.95
7,164.0,36,2,16.0,0,14,6774,8,55063,1,1,33,3908.92
9,234.0,50,2,65.0,1,12,5633,8,35231,1,0,32,5189.57
10,156.5,44,4,73.0,0,2,1472,9,37406,0,1,26,3112.34
2,24.0,8,2,72.0,1,9,4260,5,28715,0,0,18,3384.31
10,89.5,26,2,36.0,0,4,2006,8,45298,0,1,25,2383.65
3,40.0,18,4,92.0,1,11,6215,3,19527,0,0,21,3820.08
5,84.5,20,4,97.0,1,4,2675,9,46675,0,1,23,3533.68
8,233.5,48,2,16.0,0,8,3665,3,13767,0,0,21,2541.92
3,56.0,10,1,4.0,1,9,4303,0,0,1,1,15,1232.57
3,24.0,6,3,74.0,1,15,10047,10,42336,1,1,33,3601.7
1,16.0,4,4,176.0,0,19,10362,0,0,0,0,24,2809.48
4,50.0,12,2,40.0,1,6,2081,8,39814,1,1,22,2483.7
2,12.0,6,2,4.0,0,1,989,8,42122,0,1,14,1278.31
1,16.0,4,1,1.0,1,4,2526,1,750,0,1,8,827.73
4,101.0,28,4,45.0,0,3,1234,1,4589,0,1,13,2048.36
8,124.5,28,1,8.0,0,11,6238,3,10552,1,1,25,3126.06
10,180.0,46,2,9.0,0,12,6824,6,43469,1,1,32,3722.11
6,170.0,24,5,104.0,0,20,9413,8,33249,1,0,40,5155.24
0,0.0,0,0,0.0,0,18,9355,8,41297,1,0,27,2631.77
10,218.5,52,5,72.0,1,17,8004,4,24177,1,1,38,5035.2
2,80.0,16,3,28.0,1,5,2073,7,39245,1,1,19,2489.04
7,128.0,36,2,48.0,0,17,8602,1,8931,0,0,27,3586.8
9,200.5,48,3,44.0,0,19,9323,1,8756,1,0,33,4590.32
7,149.0,36,0,0.0,1,18,9617,6,17769,1,0,32,3632.99
3,76.0,14,4,25.0,1,6,3104,2,12066,1,1,17,2254.4
0,0.0,0,1,16.0,0,5,1556,3,18031,0,0,9,1012.15
3,24.0,6,3,33.0,1,10,3942,6,17513,1,0,23,2797.01
5,28.5,14,1,2.0,1,8,5252,9,33011,1,1,25,2118.42
6,114.0,26,0,0.0,1,3,1376,3,26406,0,1,13,1601.85
6,60.0,22,4,74.0,0,18,7197,4,16733,1,0,33,4020.77
9,148.5,46,5,109.0,1,12,5017,1,8927,1,0,28,6120.68
10,180.0,46,0,0.0,1,19,11281,4,16751,1,1,35,4244.47
5,12.5,10,4,136.0,0,16,7191,3,19823,0,1,29,3740.51
3,128.0,24,2,68.0,0,13,6272,10,60893,1,1,30,3910.59
1,8.0,2,5,106.0,0,1,456,0,0,1,0,8,1271.95
9,161.0,48,3,32.0,1,6,2789,7,44752,1,0,26,3495.72
7,194.5,34,2,9.0,1,12,8760,2,3992,0,0,23,2730.75
9,133.0,42,2,36.0,0,16,7571,2,14591,1,1,31,3415.12
6,76.0,24,4,98.0,0,17,7744,7,41299,0,1,35,3869.57
1,64.0,16,1,32.0,0,17,7362,5,19673,0,0,24,3697.58
7,91.0,24,1,8.0,0,3,1376,10,62331,1,0,22,2090.51
10,95.5,32,3,80.0,0,11,5346,5,25529,0,1,30,2569.35
5,44.0,18,1,4.0,0,13,8127,2,7333,0,0,21,2390.74
4,80.5,14,1,64.0,1,4,2458,10,49193,1,0,20,3322.92
8,132.0,38,0,0.0,0,8,4973,3,14838,0,1,20,2293.27
10,101.5,26,3,32.0,0,9,5435,1,4543,1,0,24,2194.36
1,4.0,2,0,0.0,1,20,8183,0,0,0,0,21,1101.62
10,137.0,42,0,0.0,0,6,1614,8,37259,1,1,26,2145.41
7,200.5,48,3,56.0,1,11,6449,10,73236,1,1,33,5477.9
10,278.5,70,3,81.0,1,13,6949,3,9777,0,1,30,5452.47
8,190.0,44,5,58.0,0,13,5870,1,3894,0,0,27,4002.83
9,234.0,62,5,152.0,0,19,10274,8,58726,0,1,42,5838.94
2,20.0,10,1,16.0,1,0,0,4,16645,1,1,9,1169.05
6,43.5,14,2,72.0,0,9,3333,9,40839,1,0,27,2678.84
4,65.0,18,5,164.0,1,3,1477,4,14725,0,1,17,4212.94
7,113.5,28,2,48.0,0,0,0,6,41291,1,0,16,2290.95
6,113.5,32,1,1.0,0,8,3867,7,28114,0,0,22,2137.4
6,52.5,12,3,68.0,1,4,1684,7,45253,0,1,21,2922.8
5,144.0,24,5,172.0,0,8,4087,4,13927,1,0,23,3622.03
10,126.0,38,3,68.0,0,3,1425,5,16577,1,1,23,2765.15
2,33.0,6,1,32.0,0,13,7040,2,10642,0,0,18,2216.57
3,66.5,12,0,0.0,0,14,7961,7,27623,0,1,25,1890.82
3,42.0,12,1,1.0,0,4,1060,5,27411,0,1,14,1298.46
3,56.0,12,5,68.0,1,9,5772,8,32099,0,0,25,3375.96
7,94.0,28,4,144.0,1,8,4794,10,66750,1,1,31,6117.39
1,4.0,2,2,36.0,0,0,0,10,56982,1,0,14,1748.16
9,62.0,24,0,0.0,1,4,1949,4,20055,0,0,17,1552.73
7,178.0,38,4,90.0,1,16,4958,4,9914,0,1,32,5319.74
